# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cpu_core/cycles/Pu'
# Event count (approx.): 246162218144
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ...................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    35.02%  cobre    cobre                [.] assessMatrix(HighsLogOptions const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, int, bool, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<double, std::allocator<double> >&, double, double)
     9.93%  cobre    cobre                [.] HighsSparseMatrix::createRowwisePartitioned(HighsSparseMatrix const&, signed char const*)
     6.30%  cobre    libc.so.6            [.] __memmove_avx_unaligned_erms
            |          
             --3.15%--0xffffffffb2001280

     6.16%  cobre    cobre                [.] HighsSparseMatrix::priceByColumn(bool, HVectorBase<double>&, HVectorBase<double> const&, int) const
     3.70%  cobre    cobre                [.] HighsLinearSumBounds::update(int&, HighsCDouble&, int, double, double) const
     3.46%  cobre    libc.so.6            [.] __memset_avx2_unaligned_erms
            |          
             --1.10%--0xffffffffb2001280

     3.37%  cobre    cobre                [.] HighsSparseMatrix::collectAj(HVectorBase<double>&, int, double) const
     2.85%  cobre    cobre                [.] int highs_splay<int, presolve::HPresolve::unlink(int)::{lambda(int)#1}&, presolve::HPresolve::unlink(int)::{lambda(int)#2}&, presolve::HPresolve::unlink(int)::{lambda(int)#3}&>(int const&, int, presolve::HPresolve::unlink(int)::{lambda(int)#1}&, presolve::HPresolve::unlink(int)::{lambda(int)#2}&, presolve::HPresolve::unlink(int)::{lambda(int)#3}&) [clone .isra.0]
     2.81%  cobre    cobre                [.] getPrimalDualGlpsolErrors(HighsOptions const&, HighsLp const&, std::vector<double, std::allocator<double> > const&, HighsSolution const&, HighsPrimalDualErrors&)
     1.99%  cobre    cobre                [.] solveHyper(int, int const*, int const*, double const*, int const*, int const*, int const*, double const*, HVectorBase<double>*)
            |          
             --1.33%--solveHyper(int, int const*, int const*, double const*, int const*, int const*, int const*, double const*, HVectorBase<double>*)

     1.62%  cobre    cobre                [.] HSimplexNla::debugCheckData(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) const
     1.46%  cobre    cobre                [.] presolve::HPresolve::getRowPositions(int, std::vector<int, std::allocator<int> >&) const
     1.46%  cobre    cobre                [.] assessExcessiveObjectiveBoundScaling(HighsLogOptions, HighsModel const&, HighsUserScaleData&)
     1.43%  cobre    cobre                [.] HFactor::buildFinish()
     1.34%  cobre    cobre                [.] HighsSparseMatrix::hasLargeValue(double)
     1.17%  cobre    cobre                [.] presolve::HPresolve::updateColImpliedBounds(int)
     1.09%  cobre    cobre                [.] HFactor::buildSimple()
     0.84%  cobre    cobre                [.] HFactor::ftranU(HVectorBase<double>&, double, HighsTimerClock*) const
     0.74%  cobre    cobre                [.] HVectorBase<double>::reIndex()
     0.62%  cobre    [unknown]            [k] 0xffffffffb2001988
     0.61%  cobre    cobre                [.] HEkkDualRow::choosePossible()
     0.58%  cobre    cobre                [.] presolve::HPresolve::link(int)
     0.58%  cobre    cobre                [.] HighsSparseMatrix::numNz() const
     0.54%  cobre    cobre                [.] presolve::HPresolve::unlink(int)
     0.53%  cobre    cobre                [.] HEkkDualRHS::chooseNormal(int*)
     0.45%  cobre    cobre                [.] HighsLinearSumBounds::add(int, int, double)
     0.44%  cobre    cobre                [.] HighsSparseMatrix::priceByRowWithSwitch(bool, HVectorBase<double>&, HVectorBase<double> const&, double, int, double, int) const
     0.33%  cobre    cobre                [.] HEkkDualRHS::updatePrimal(HVectorBase<double>*, double)
     0.31%  cobre    cobre                [.] presolve::HPresolve::detectParallelRowsAndCols(presolve::HighsPostsolveStack&)
     0.30%  cobre    cobre                [.] cobre_solver::freeze::freeze_rows_into_template
     0.29%  cobre    cobre                [.] HFactor::updateFT(HVectorBase<double>*, HVectorBase<double>*, int)
     0.27%  cobre    cobre                [.] HighsSparseMatrix::priceByRowDenseResult(std::vector<double, std::allocator<double> >&, HVectorBase<double> const&, int, int) const
     0.25%  cobre    cobre                [.] presolve::HPresolve::rowPresolve(presolve::HighsPostsolveStack&, int)
     0.23%  cobre    cobre                [.] HEkkDualRHS::updateInfeasList(HVectorBase<double>*)
     0.23%  cobre    cobre                [.] HEkkDualRow::chooseMakepack(HVectorBase<double> const*, int)
     0.22%  cobre    cobre                [.] HighsLinearSumBounds::handleImplVarUpper(int, double, double, int)
     0.21%  cobre    cobre                [.] presolve::HPresolve::checkUpdateColImpliedBounds(int, double*, double*) const
     0.20%  cobre    cobre                [.] std::vector<int, std::allocator<int> >::_M_fill_assign(unsigned long, int const&)
     0.20%  cobre    cobre                [.] HighsLinearSumBounds::remove(int, int, double)
     0.17%  cobre    cobre                [.] HighsLinearSumBounds::getResidualSumUpperOrig(int, int, double, int, double, double) const
     0.17%  cobre    cobre                [.] HEkkDualRow::updateDual(double)
     0.17%  cobre    cobre                [.] presolve::HPresolve::updateColImpliedBounds(int, int, double)
     0.17%  cobre    cobre                [.] HighsLinearSumBounds::handleVarLower(int, double, double, int)
     0.17%  cobre    cobre                [.] HighsSparseMatrix::update(int, int, HighsSparseMatrix const&)
     0.16%  cobre    cobre                [.] HighsLinearSumBounds::handleImplVarLower(int, double, double, int)
     0.15%  cobre    cobre                [.] HighsLinearSumBounds::residual(int&, HighsCDouble&, double, double, int, double, double, double) const
     0.15%  cobre    cobre                [.] HFactor::btranFT(HVectorBase<double>&) const
     0.14%  cobre    cobre                [.] presolve::HPresolve::colPresolve(presolve::HighsPostsolveStack&, int)
     0.13%  cobre    cobre                [.] HFactor::ftranL(HVectorBase<double>&, double, HighsTimerClock*) const
     0.13%  cobre    cobre                [.] HFactor::ftranFT(HVectorBase<double>&) const
     0.12%  cobre    cobre                [.] HEkk::initialiseSimplexLpRandomVectors()
     0.12%  cobre    cobre                [.] HEkk::getValueScale(int, std::vector<double, std::allocator<double> > const&) const
     0.12%  cobre    cobre                [.] HEkk::updateDualDevexWeights(HVectorBase<double> const*, double)
     0.12%  cobre    cobre                [.] presolve::HPresolve::isImpliedEquationAtUpper(int) const
     0.10%  cobre    cobre                [.] HFactor::buildKernel()
     0.10%  cobre    cobre                [.] presolve::HPresolve::computeColBounds(int, int, double, int, double*, double*, double*, double*)
     0.10%  cobre    libc.so.6            [.] __libc_malloc2
     0.10%  cobre    cobre                [.] presolve::HighsPostsolveStack::FixedCol::undo(HighsOptions const&, std::vector<presolve::HighsPostsolveStack::Nonzero, std::allocator<presolve::HighsPostsolveStack::Nonzero> > const&, HighsSolution&, HighsBasis&) const
     0.10%  cobre    cobre                [.] HEkk::computeSimplexPrimalInfeasible()
     0.09%  cobre    cobre                [.] cobre_sddp::cut::row::build_cut_row_batch_into
     0.09%  cobre    cobre                [.] HighsLinearSumBounds::getImplVarLower(int, int) const
     0.09%  cobre    cobre                [.] presolve::HPresolve::toCSC(std::vector<double, std::allocator<double> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&)
     0.09%  cobre    cobre                [.] HighsLinearSumBounds::handleVarUpper(int, double, double, int)
     0.08%  cobre    cobre                [.] cobre_io::output::policy::codec::read_f64_vector
     0.08%  cobre    cobre                [.] HighsLinearSumBounds::getImplVarUpper(int, int) const
     0.08%  cobre    libc.so.6            [.] _int_malloc
     0.08%  cobre    cobre                [.] getVariableKktFailures(double, double, double, double, double, double, HighsVarType, double&, double&, unsigned char&, unsigned char&, int)
     0.08%  cobre    cobre                [.] HEkkDualRow::computeDevexWeight(int)
     0.08%  cobre    cobre                [.] presolve::HPresolve::okFromCSC(std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)
     0.08%  cobre    cobre                [.] calculateRowValuesQuad(HighsLp const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> >&, int)
     0.08%  cobre    cobre                [.] std::vector<double, std::allocator<double> >::_M_fill_assign(unsigned long, double const&)
     0.07%  cobre    cobre                [.] HEkk::computePrimal()
     0.07%  cobre    cobre                [.] presolve::HPresolve::removeFixedCol(int, double)
     0.06%  cobre    libc.so.6            [.] _int_free_chunk
     0.06%  cobre    cobre                [.] HFactor::btranL(HVectorBase<double>&, double, HighsTimerClock*) const
     0.06%  cobre    libm.so.6            [.] __scalbn
     0.06%  cobre    libc.so.6            [.] _int_free_merge_chunk
     0.06%  cobre    cobre                [.] bool okResize<int>(std::vector<int, std::allocator<int> >&, int, int)
     0.06%  cobre    cobre                [.] HVectorBase<double>::clear()
     0.06%  cobre    cobre                [.] HighsLinearSumBounds::getImplVarUpper(int, double, double, int) const
     0.06%  cobre    cobre                [.] HEkk::setBasis(HighsBasis const&)
     0.06%  cobre    cobre                [.] HEkk::computeDual()
     0.06%  cobre    cobre                [.] HighsLinearSumBounds::getImplVarLower(int, double, double, int) const
     0.04%  cobre    cobre                [.] HEkk::factorSolveError()
     0.04%  cobre    cobre                [.] presolve::HPresolve::shrinkProblem(presolve::HighsPostsolveStack&)
     0.04%  cobre    cobre                [.] getKktFailures(HighsOptions const&, bool, HighsLp const&, std::vector<double, std::allocator<double> > const&, HighsSolution const&, HighsInfo&, bool)
