# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 78K of event 'cpu_core/cycles/Pu'
# Event count (approx.): 3766121620191
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ...................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    18.35%  cobre    cobre                [.] solveHyper(int, int const*, int const*, double const*, int const*, int const*, int const*, double const*, HVectorBase<double>*)
     9.16%  cobre    cobre                [.] HighsSparseMatrix::priceByRowWithSwitch(bool, HVectorBase<double>&, HVectorBase<double> const&, double, int, double, int) const
     6.78%  cobre    cobre                [.] HighsSparseMatrix::priceByRowDenseResult(std::vector<double, std::allocator<double> >&, HVectorBase<double> const&, int, int) const
     6.38%  cobre    cobre                [.] HEkkDualRow::chooseMakepack(HVectorBase<double> const*, int)
     6.06%  cobre    cobre                [.] HVectorBase<double>::reIndex()
     5.57%  cobre    cobre                [.] HEkkDualRow::choosePossible()
     4.33%  cobre    cobre                [.] HEkkDualRHS::chooseNormal(int*)
     3.22%  cobre    cobre                [.] HEkk::getValueScale(int, std::vector<double, std::allocator<double> > const&) const
     3.06%  cobre    cobre                [.] HFactor::btranL(HVectorBase<double>&, double, HighsTimerClock*) const
     2.55%  cobre    cobre                [.] HEkkDualRow::updateDual(double)
     2.45%  cobre    cobre                [.] HEkkDualRow::computeDevexWeight(int)
     2.13%  cobre    cobre                [.] HEkkDualRHS::updatePrimal(HVectorBase<double>*, double)
     2.01%  cobre    cobre                [.] HFactor::btranFT(HVectorBase<double>&) const
     1.56%  cobre    cobre                [.] HFactor::ftranFT(HVectorBase<double>&) const
     1.26%  cobre    cobre                [.] HFactor::buildSimple()
     1.10%  cobre    cobre                [.] HFactor::ftranU(HVectorBase<double>&, double, HighsTimerClock*) const
     1.06%  cobre    cobre                [.] HEkkDualRow::chooseFinal()
     1.06%  cobre    cobre                [.] HEkkDualRHS::updateInfeasList(HVectorBase<double>*)
     0.89%  cobre    cobre                [.] std::vector<double, std::allocator<double> >::_M_fill_assign(unsigned long, double const&)
     0.89%  cobre    cobre                [.] HFactor::updateFT(HVectorBase<double>*, HVectorBase<double>*, int)
     0.85%  cobre    cobre                [.] HEkkPrimal::chooseColumn(bool)
     0.77%  cobre    cobre                [.] HFactor::btranU(HVectorBase<double>&, double, HighsTimerClock*) const
     0.77%  cobre    libc.so.6            [.] __memset_avx2_unaligned_erms
     0.74%  cobre    cobre                [.] HighsSparseMatrix::priceByColumn(bool, HVectorBase<double>&, HVectorBase<double> const&, int) const
     0.72%  cobre    cobre                [.] HVectorBase<double>::clear()
     0.71%  cobre    libc.so.6            [.] __memmove_avx_unaligned_erms
     0.70%  cobre    cobre                [.] HighsSparseMatrix::collectAj(HVectorBase<double>&, int, double) const
     0.67%  cobre    cobre                [.] HFactor::buildKernel()
     0.63%  cobre    cobre                [.] HVectorBase<double>::tight()
     0.53%  cobre    cobre                [.] HEkk::initialiseSimplexLpRandomVectors()
     0.45%  cobre    cobre                [.] HEkk::computePrimal()
     0.45%  cobre    cobre                [.] std::vector<int, std::allocator<int> >::_M_fill_assign(unsigned long, int const&)
     0.43%  cobre    cobre                [.] HFactor::buildFinish()
     0.43%  cobre    cobre                [.] HEkk::computeSimplexPrimalInfeasible()
     0.42%  cobre    cobre                [.] HEkk::computeSimplexDualInfeasible()
     0.40%  cobre    cobre                [.] HEkk::computeDual()
     0.38%  cobre    cobre                [.] HEkkPrimal::updateDevex()
     0.37%  cobre    cobre                [.] HEkk::updatePivots(int, int, int)
