id	symbol	status	attributed_to	layout
PD-007	window_period_overlaps	resolved	window_period_overlaps	4t
PD-009	resolve_coverage_gated_observations	inlined	resolve_coverage_gated_observations	4t
PD-010	merged_windows_for_hydro	resolved	merged_windows_for_hydro	4t
PD-011	check_prefix_coherence	inlined	check_prefix_coherence	4t
PD-014	slot_occupying_classes	resolved	slot_occupying_classes	4t
PD-018	SolverStatsRow	inlined	SolverStatsRow	4t
PD-020	estimate_ar_with_pacf_annual	resolved	estimate_ar_with_pacf_annual	4t
PD-021	compute_seasonal_matrices	inlined	compute_seasonal_matrices	4t
PD-023	fill	resolved	fill	4t
PD-024	fill_uncorrelated	resolved	fill_uncorrelated	4t
PD-025	fill_uncorrelated	resolved	fill_uncorrelated	4t
PD-026	generate_opening_tree	resolved	generate_opening_tree	4t
PD-027	apply_group_precomputed	inlined	apply_group_precomputed	4t
PD-032	cobre_clp_chg_bounds	inlined	cobre_clp_chg_bounds	4t
PD-033	add_rows	resolved	add_rows	4t
PD-034	get_basis	resolved	get_basis	4t
PD-036	backward_cut_levels	resolved	backward_cut_levels	4t
PD-038	fill_col_state_patches	resolved	fill_col_state_patches	4t
PD-039	fill_col_state_patches	resolved	fill_col_state_patches	4t
PD-040	select_for_stage	resolved	select_for_stage	4t
PD-041	run_cut_management	inlined	run_cut_management	4t
PD-042	run_one_backward_level	inlined	run_one_backward_level	4t
PD-044	process_stage_backward	resolved	process_stage_backward	4t
PD-045	build_row_lower_unscaled	inlined	build_row_lower_unscaled	4t
PD-049	load_policy	inlined	load_convergence	4t
PD-050	read_parquet_partition_into	inlined	read_parquet_partition_into	4t
PD-051	cut_matrix	inlined	reshape_f64	4t
PD-047	re_expand	resolved	re_expand	2t
